Table S2. Genes that responded to Pou5f1 suppression in ZHBTc4 ES cells,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Features of OCT4/NANOG binding site,,,,,,,,,,,,
Z00010064-1,AI848100,88.61,0.234,1.713,0,14.426,0,0,-850,0,0,3,0,1.8739,-0.661,0.392664941,0.8241,0,0,AI848100,expressed sequence AI848100
Z00010521-1,Mdh2,98.01,0.234,1.713,0,8.801,0,0,67117,0,0,3,0,1.1944,0,0,1,0,0,Mdh2,"malate dehydrogenase 2, NAD (mitochondrial)"
Z00011967-1,Pskh1,102.39,0.234,1.713,0,6.033,0,0,-19639,0,0,2,2,2.3559,0,0,0.5605,0,0,Pskh1,protein serine kinase H1
Z00020794-1,Ccng2,98.29,0.234,1.713,0,13.669,0,0,1557,0,0,2,1,2.7615,0,0,0.497,0,0,Ccng2,cyclin G2
Z00034072-1,Ipp,91.36,0.234,1.713,0,10.051,0,0,-7826,0,0,3,0,1.5034,0,0,1,0,0,Ipp,IAP promoted placental gene
Z00035122-1,Arcn1,67.9,0.234,1.713,0,11.347,0,0,0,0,0,0,0,0,0,0,1,0,0,Arcn1,archain 1
Z00036485-1,Slmap,98.61,0.234,1.713,0,2.375,0.01497,0.03479,-13267,0,0,2,1,2.1955,-0.483,0.188667449,0.6427,0,0,Slmap,sarcolemma associated protein
Z00055525-1,Spire1,103.41,0.234,1.713,0,11.595,0,0,-119,0,0,6,8,4.9926,0,0,0.0606,0,0,Spire1,spire homolog 1 (Drosophila)
Z00056347-1,Asah1,91.26,0.234,1.713,0,12.989,0,0,-7620,0,1,1,3,2.5233,0,0,0.5258,0,0,Asah1,N-acylsphingosine amidohydrolase 1
Z00060279-1,BC008163,45.81,0.234,1.713,0,17.734,0,0,584,0,0,2,2,3.2405,0,0.312740634,0.2317,0,0,BC008163,cDNA sequence BC008163
Z00001455-1,Cables2,96.72,0.233,1.71,0,12.457,0,0,3226,0,0,2,0,1.4361,0,0,1,0,0,Cables2,Cdk5 and Abl enzyme substrate 2
Z00002166-1,Phactr4,76.16,0.233,1.71,0,12.328,0,0,56264,0,0,2,0,1.0574,0,0.297780557,1,0,0,Phactr4,phosphatase and actin regulator 4
Z00019099-1,Gas1,39.91,0.233,1.71,1,12.545,0,0,-595,1,0,3,0,1.2686,0,0,1,0,0,Gas1,growth arrest specific 1
Z00023731-1,Adam19,109.73,0.233,1.71,0,25.908,0,0,59645,0,0,3,4,2.5336,0,0,0.5238,0,0,Adam19,a disintegrin and metallopeptidase domain 19 (meltrin beta)
Z00024855-1,Edg4,103.38,0.233,1.71,0,7.991,0,0,1829,1,0,2,0,0.9207,0,0,1,0,0,Edg4,"endothelial differentiation, lysophosphatidic acid G-protein-coupled receptor 4"
Z00032063-1,Ccdc50,61.04,0.233,1.71,0,8.229,0,0,103127,0,0,2,0,0.991,0,0,1,0,0,Ccdc50,coiled-coil domain containing 50
Z00033387-1,Rpl3,93.67,0.233,1.71,0,4.12,0.00006,0.00023,3367,0,0,2,1,2.5427,0,-0.261579021,0.5258,0,0,Rpl3,ribosomal protein L3
Z00045985-1,5730407K14Rik,19.06,0.233,1.71,0,8.594,0,0,8908,0,0,0,3,1.4694,0,0.284101408,1,0,0,5730407K14Rik,RIKEN cDNA 5730407K14 gene
Z00054416-1,Rab33b,69.98,0.233,1.71,0,12.746,0,0,0,0,0,0,0,0,0,0.433268725,1,0,0,Rab33b,"RAB33B, member of RAS oncogene family"
Z00061405-1,Ggps1,96.8,0.233,1.71,0,13.342,0,0,9160,0,0,3,0,1.4783,0,0,1,0,0,Ggps1,geranylgeranyl diphosphate synthase 1
Z00012173-1,Arhgef10,106.09,0.232,1.706,0,8.671,0,0,11225,0,1,1,3,2.4208,0,0,0.5528,0,0,Arhgef10,Rho guanine nucleotide exchange factor (GEF) 10
Z00013363-1,Mfhas1,108.87,0.232,1.706,0,7.061,0,0,9767,0,0,1,3,2.4571,0,0.243968014,0.5252,0,0,Mfhas1,malignant fibrous histiocytoma amplified sequence 1
Z00018218-1,Hmga2,36.6,0.232,1.706,1,3.923,0.00012,0.00042,-48555,0,0,3,1,2.073,0,0.643308205,0.8823,0,1,Hmga2,high mobility group AT-hook 2
Z00020009-1,Purb,75.65,0.232,1.706,0,23.018,0,0,-11645,0,0,2,0,1.2517,-0.389,0.524126035,1,0,0,Purb,purine rich element binding protein B
Z00020073-1,Saps1,86.55,0.232,1.706,0,9.254,0,0,0,0,0,0,0,0,0,0,1,0,0,Saps1,"SAPS domain family, member 1"
Z00023256-1,Rasgef1b,2.27,0.232,1.706,1,5.807,0,0,50077,0,0,1,2,1.9023,0,0,0.8239,0,0,Rasgef1b,Intronic in U026437
Z00026177-1,Gpr153,110.05,0.232,1.706,0,7.147,0,0,-10270,0,0,1,2,2.254,0,0,0.5385,0,0,Gpr153,G protein-coupled receptor 153
Z00030344-1,Rps14,102.46,0.232,1.706,0,5.384,0,0,-1124,1,0,3,0,1.2453,0,0,1,0,0,Rps14,ribosomal protein S14
Z00057120-1,Rps6ka4,100.01,0.232,1.706,0,19.645,0,0,89041,0,0,3,2,2.1559,0,0,0.6515,0,0,Rps6ka4,"ribosomal protein S6 kinase, polypeptide 4"
Z00059458-1,Ntf5,85.72,0.232,1.706,0,7.18,0,0,0,0,0,0,0,0,0,0,1,0,0,Ntf5,neurotrophin 5
Z00003354-1,Usp18,114.7,0.231,1.702,0,11.681,0,0,0,0,0,0,0,0,0,0,1,0,0,Usp18,ubiquitin specific peptidase 18
Z00013934-1,Arfgef2,105.25,0.231,1.702,0,3.504,0.00048,0.0015,88,1,0,3,0,1.2686,0,0,1,0,0,Arfgef2,ADP-ribosylation factor guanine nucleotide-exchange factor 2 (brefeldin A-inhibited)
Z00018146-1,Atf4,103.79,0.231,1.702,0,9.398,0,0,-86,1,0,0,5,1.6118,0,0,1,0,1,Atf4,activating transcription factor 4
Z00018150-1,9030624J02Rik,88.11,0.231,1.702,0,10.677,0,0,-18181,0,0,3,0,1.3737,-0.432,0,1,0,0,9030624J02Rik,RIKEN cDNA 9030624J02 gene
Z00019007-1,Pdgfrb,85.04,0.231,1.702,0,10.489,0,0,182,0,0,0,2,1.6133,0,0,1,0,0,Pdgfrb,"platelet derived growth factor receptor, beta polypeptide"
Z00023961-1,Chst5,92.47,0.231,1.702,0,8.716,0,0,16412,0,0,0,2,1.1957,0,0,1,0,0,Chst5,carbohydrate (N-acetylglucosamine 6-O) sulfotransferase 5
Z00034823-1,Csrp2bp,4.86,0.231,1.702,1,3.377,0.00071,0.00219,1783,0,0,0,2,1.5165,0,0,1,0,0,Csrp2bp,cysteine and glycine-rich protein 2 binding protein
Z00036061-1,Rtf1,98.8,0.231,1.702,0,3.867,0.00015,0.0005,32717,0,0,3,8,3.0859,0,0,0.497,0,0,Rtf1,"Rtf1, Paf1/RNA polymerase II complex component, homolog (S. cerevisiae)"
Z00052124-1,4632415K11Rik,21.27,0.231,1.702,0,4.291,0.00181,0.00013,-13887,0,0,2,0,1.2305,0.482,0.363622199,1,0,0,4632415K11Rik,RIKEN cDNA 4632415K11 gene
Z00055049-1,Arhgap9,20.43,0.231,1.702,0,4.272,0.00188,0.00014,0,0,0,0,0,0,0,0.216545054,1,0,0,Arhgap9,Rho GTPase activating protein 9
Z00070435-1,Pde1c,4.81,0.231,1.702,1,2.603,0.0077,0.01917,70122,0,0,0,7,1.5808,0,0,1,0,0,Pde1c,phosphodiesterase 1C
Z00004843-1,Mum1l1,83.84,0.23,1.698,1,7.909,0,0,18667,1,0,0,2,0.574,0,0,1,0,0,Mum1l1,melanoma associated antigen (mutated) 1-like 1
Z00006509-1,Ywhah,46.49,0.23,1.698,0,23.745,0,0,9304,0,0,2,1,2.2805,0,0.213063823,0.4816,0,0,Ywhah,"tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, eta polypeptide"
Z00011142-1,BC037703,98.51,0.23,1.698,0,2.775,0.0046,0.01207,-1765,0,1,0,2,1.5181,0,0,1,0,0,BC037703,cDNA sequence BC037703
Z00012665-1,Ergic2,73.82,0.23,1.698,0,6.47,0,0,-48177,0,0,2,3,2.301,0,0.183751283,0.5771,0,0,Ergic2,ERGIC and golgi 2
Z00012954-1,Trafd1,98.99,0.23,1.698,0,17.574,0,0,34318,0,0,0,2,1.1049,0,0,1,0,0,Trafd1,TRAF type zinc finger domain containing 1
Z00016728-1,Pdzd8,2.86,0.23,1.698,1,5.149,0,0.00001,0,0,0,0,0,0,0,0,1,0,0,Pdzd8,PDZ domain containing 8
Z00017621-1,Klhl18,66.64,0.23,1.698,0,10.734,0,0,0,0,0,0,0,0,0,0,1,0,0,Klhl18,kelch-like 18 (Drosophila)
Z00019851-1,Cd248,86.07,0.23,1.698,0,18.454,0,0,-9766,0,0,0,8,2.0449,0,0,0.6216,0,0,Cd248,"CD248 antigen, endosialin"
Z00023293-1,Pxn,96.92,0.23,1.698,0,14.568,0,0,0,0,0,0,0,0,0,0.410619348,1,0,0,Pxn,paxillin
Z00026715-1,Gats,104.74,0.23,1.698,0,11.111,0,0,-99382,0,0,2,1,1.7696,0,0,1,0,0,Gats,opposite strand transcription unit to Stag3
Z00033701-1,E230011G24Rik,50.39,0.23,1.698,1,16.567,0,0,0,0,0,0,0,0,0,0.212234561,1,0,0,E230011G24Rik,RIKEN cDNA E230011G24 gene
Z00036354-1,Zfp617,41.13,0.23,1.698,1,5.201,0,0.00001,36945,1,1,5,2,2.0105,0,0,0.9349,0,1,Zfp617,zinc finger protein 617
Z00047503-1,1110018J18Rik,15.16,0.23,1.698,0,7.086,0.00001,0,-9321,0,0,2,0,1.2819,0,0,1,0,0,1110018J18Rik,RIKEN cDNA 1110018J18 gene
Z00001199-1,1200015F23Rik,92.6,0.229,1.694,0,2.372,0.01509,0.03501,9791,0,0,3,0,1.4678,0,0,1,0,0,1200015F23Rik,RIKEN cDNA 1200015F23 gene
Z00006225-1,Lass5,107.3,0.229,1.694,0,22.448,0,0,12483,0,0,2,0,1.2424,0,0,1,0,1,Lass5,longevity assurance homolog 5 (S. cerevisiae)
Z00006317-1,Zfp482,58.9,0.229,1.694,0,16.877,0,0,0,0,0,0,0,0,0,0,1,0,1,Zfp482,"Mus musculus adult male bone cDNA, RIKEN full-length enriched library, clone:9830002K16 product:unclassifiable, full insert sequence"
Z00006343-1,4930471M23Rik,107.38,0.229,1.694,0,4.386,0.00003,0.0001,-33714,0,0,1,3,2.1519,0,0.191395684,0.6515,0,0,4930471M23Rik,RIKEN cDNA 4930471M23 gene
Z00020448-1,Vegfa,10.86,0.229,1.694,1,6.166,0,0,-124227,0,0,3,2,2.0804,-0.336,0,0.6821,0,0,Vegfa,vascular endothelial growth factor A
Z00024153-1,Mfi2,104.36,0.229,1.694,0,16.646,0,0,11582,0,0,1,2,2.2252,0,0,0.6427,0,0,Mfi2,antigen p97 (melanoma associated) identified by monoclonal antibodies 133.2 and 96.5
Z00028218-1,6030405A18Rik,23.35,0.229,1.694,1,8.675,0,0,-74513,0,0,3,9,2.8943,0,0,0.3955,0,0,6030405A18Rik,RIKEN cDNA 6030405A18 gene
Z00030475-1,Rps18,96.35,0.229,1.694,0,5.163,0,0.00001,-155,1,0,3,0,1.2686,0,0,1,0,0,Rps18,ribosomal protein S18
Z00040764-1,Cx3cl1,14.73,0.229,1.694,0,8.998,0,0,-18609,0,0,1,2,2.115,0.425,0,0.6939,0,0,Cx3cl1,chemokine (C-X3-C motif) ligand 1
Z00055219-1,Dusp22,20.8,0.229,1.694,0,2.584,0.03523,0.0201,0,0,0,0,0,0,0,0.405846322,1,0,0,Dusp22,dual specificity phosphatase 22
Z00003379-1,Cdkn2b,86.55,0.228,1.69,0,4.691,0.00001,0.00004,0,0,0,0,0,0,0.759,0.252868839,1,0,0,Cdkn2b,"cyclin-dependent kinase inhibitor 2B (p15, inhibits CDK4)"
Z00003978-1,Pign,81.88,0.228,1.69,0,7.778,0,0,17100,0,0,2,0,1.2012,0,0.212068618,1,0,0,Pign,"Mus musculus phosphatidylinositol glycan, class N (Pign), mRNA"
Z00006681-1,Xpnpep1,74.22,0.228,1.69,0,14.702,0,0,-19972,0,0,0,7,1.8083,0,0,1,0,0,Xpnpep1,"X-prolyl aminopeptidase (aminopeptidase P) 1, soluble"
Z00012377-1,C730024G19Rik,77.35,0.228,1.69,0,17.781,0,0,57289,0,1,2,11,2.9446,0,0,0.3736,0,0,C730024G19Rik,RIKEN cDNA C730024G19 gene
Z00018513-1,Tln1,101.9,0.228,1.69,0,5.896,0,0,23691,0,0,2,0,1.16,0,0.451496874,1,0,0,Tln1,talin 1
Z00023550-1,Zfp202,10.48,0.228,1.69,1,12.408,0,0,10,0,0,0,4,2.052,0,0.259468801,0.6958,0,1,Zfp202,zinc finger protein 202
Z00030495-1,Tuba6,52.06,0.228,1.69,1,7.423,0,0,-47299,0,0,0,6,1.408,0,0,1,0,0,Tuba6,"tubulin, alpha 6"
Z00034110-1,Gprc5c,20.16,0.228,1.69,1,10.248,0,0,0,0,0,0,0,0,0,0.225416077,1,0,0,Gprc5c,"G protein-coupled receptor, family C, group 5, member C"
Z00034334-1,Hexim1,91.18,0.228,1.69,0,12.297,0,0,-2989,0,0,2,1,2.5753,0,0,0.5258,0,1,Hexim1,hexamethylene bis-acetamide inducible 1
Z00057139-1,Stx3,108.59,0.228,1.69,0,14.917,0,0,11323,0,0,1,3,2.4186,0,0,0.5264,0,0,Stx3,syntaxin 3
Z00060281-1,Iscu,36.81,0.228,1.69,0,13.193,0,0,-67,1,0,2,0,1.0226,0,0,1,0,0,Iscu,IscU iron-sulfur cluster scaffold homolog (E. coli)
Z00062121-1,Utp11l,43.8,0.228,1.69,1,7.707,0,0,8087,0,0,0,2,1.2898,0,0,1,0,0,Utp11l,"UTP11-like, U3 small nucleolar ribonucleoprotein, (yeast)"
Z00000322-1,Glg1,88.71,0.227,1.686,0,12.747,0,0,-7765,0,1,2,0,1.3072,0,0,1,0,0,Glg1,golgi apparatus protein 1
Z00002113-1,Ankrd56,9.97,0.227,1.686,1,3.907,0.00013,0.00044,0,0,0,0,0,0,0,0,1,0,0,Ankrd56,ankyrin repeat domain 56
Z00011368-1,Slc12a4,77.64,0.227,1.686,0,8.482,0,0,342,1,0,6,0,1.7781,0,0.181922436,1,0,0,Slc12a4,"solute carrier family 12, member 4"
Z00015356-1,BC052328,108.24,0.227,1.686,0,14.342,0,0,12557,0,0,0,2,1.2304,0,0,1,0,0,BC052328,cDNA sequence BC052328
Z00035321-1,Ppp1r9b,104.73,0.227,1.686,0,6.669,0,0,-2305,0,0,2,0,1.4887,0,0,1,0,0,Ppp1r9b,"protein phosphatase 1, regulatory subunit 9B"
Z00035570-1,Phf13,99.03,0.227,1.686,0,7.66,0,0,-3477,0,0,2,0,1.4246,0,0.305358973,1,0,1,Phf13,PHD finger protein 13
Z00005966-1,Rnpep,96.46,0.226,1.682,0,9.42,0,0,-13589,0,0,2,0,1.2312,0,0.304537883,1,0,0,Rnpep,arginyl aminopeptidase (aminopeptidase B)
Z00018990-1,D10Jhu81e,106.17,0.226,1.682,0,3.866,0.00015,0.0005,0,0,0,0,0,0,0,0,1,0,0,D10Jhu81e,"DNA segment, Chr 10, Johns Hopkins University 81 expressed"
Z00023395-1,Eif2ak2,108.17,0.226,1.682,0,22.71,0,0,-27545,0,0,0,2,1.1312,0,0,1,0,0,Eif2ak2,eukaryotic translation initiation factor 2-alpha kinase 2
Z00024181-1,Tnip1,69.07,0.226,1.682,1,8.474,0,0,4336,0,0,2,3,2.9778,0,0.254645683,0.2001,0,0,Tnip1,TNFAIP3 interacting protein 1
Z00024791-1,Srebf1,89.56,0.226,1.682,0,6.258,0,0,2441,0,0,2,0,1.4796,0,0.238479816,1,0,0,Srebf1,sterol regulatory element binding factor 1
Z00035308-1,Senp2,107.7,0.226,1.682,0,11.779,0,0,6207,0,0,1,2,2.3789,0,0,0.5528,0,0,Senp2,SUMO/sentrin specific peptidase 2
Z00040911-1,4930506M07Rik,17.41,0.226,1.682,0,8.849,0,0,58570,0,0,1,18,3.0639,0,0.952207802,0.2566,0,0,4930506M07Rik,RIKEN cDNA 4930506M07 gene
Z00056398-1,Sipa1l2,20.26,0.226,1.682,0,8.79,0,0,50535,0,0,3,0,1.2312,0,0.319330196,1,0,0,Sipa1l2,signal-induced proliferation-associated 1 like 2
Z00058001-1,Tcirg1,98.09,0.226,1.682,0,10.975,0,0,27140,0,0,0,2,1.133,0.241,0.326882391,1,0,0,Tcirg1,"T-cell, immune regulator 1, ATPase, H+ transporting, lysosomal V0 protein A3"
Z00058135-1,Rhod,88.25,0.226,1.682,0,14.966,0,0,-12870,0,0,2,2,2.4649,0,0.250615644,0.5258,0,0,Rhod,"ras homolog gene family, member D"
Z00064308-1,Thrap1,77.77,0.226,1.682,0,12.134,0,0,11615,0,0,3,0,1.4412,0,0,1,0,1,Thrap1,"PREDICTED: Mus musculus thyroid hormone receptor associated protein 1, transcript variant 1 (Thrap1), mRNA"
Z00073333-1,C81189,17.18,0.226,1.682,0,7.31,0.00001,0,0,0,0,0,0,0,0,0,1,0,0,C81189,expressed sequence C81189
Z00011428-1,Snrk,106.6,0.225,1.678,0,16.012,0,0,-127625,0,0,2,8,2.5211,0,0.248265834,0.5528,0,0,Snrk,SNF related kinase
Z00012808-1,Tmepai,87.13,0.225,1.678,0,11.81,0,0,-84058,0,0,2,1,1.8017,0,0.318134339,0.9187,0,0,Tmepai,"transmembrane, prostate androgen induced RNA"
Z00016798-1,Atg4a,93.07,0.225,1.678,0,16.444,0,0,24400,1,0,2,1,1.4515,0,0,1,0,0,Atg4a,autophagy-related 4A (yeast)
Z00023132-1,Pigk,81.89,0.225,1.678,0,20.818,0,0,21723,0,0,0,7,1.7921,0,0,1,0,0,Pigk,"phosphatidylinositol glycan anchor biosynthesis, class K"
Z00034193-1,AV340375,93.43,0.225,1.678,0,6.115,0,0,-19193,0,0,10,4,3.5689,0,0,0.3771,0,0,AV340375,expressed sequence AV340375
Z00035174-1,Pink1,91.38,0.225,1.678,0,10.511,0,0,3068,0,0,0,3,1.647,0,0,1,0,0,Pink1,PTEN induced putative kinase 1
Z00003396-1,Hat1,21.99,0.224,1.674,1,11.393,0,0,-1945,0,0,2,0,1.516,0,0.185705796,1,0,1,Hat1,histone aminotransferase 1
Z00022902-1,Mtmr1,90.83,0.224,1.674,0,9.684,0,0,18915,0,0,2,0,1.1883,0,0,1,0,0,Mtmr1,myotubularin related protein 1
Z00031590-1,Cldn23,110.44,0.224,1.674,0,11.341,0,0,-117700,0,0,1,4,1.9993,0,0,0.7328,0,0,Cldn23,claudin 23
Z00035217-1,Olfm1,21.54,0.224,1.674,1,5.159,0,0.00001,-19825,0,0,0,2,1.1717,0,0,1,0,0,Olfm1,olfactomedin 1
Z00035251-1,Dbi,63.69,0.224,1.674,1,11.684,0,0,16773,0,0,0,2,1.1965,0,0,1,0,0,Dbi,diazepam binding inhibitor
Z00035545-1,Ccdc69,104.16,0.224,1.674,0,7.628,0,0,-636,0,0,2,0,1.628,0,0,1,0,0,Ccdc69,coiled-coil domain containing 69
Z00044113-1,3100002J23Rik,9.82,0.224,1.674,1,6.783,0.00002,0,0,0,0,0,0,0,0,0,1,0,0,3100002J23Rik,RIKEN cDNA 3100002J23 gene
Z00050730-1,Arhgap22,20.6,0.224,1.674,0,5.857,0.00011,0,-82782,0,0,2,2,2.0196,1.201,0,0.7007,0,0,Arhgap22,Rho GTPase activating protein 22
Z00051568-1,Tmco5,5.2,0.224,1.674,1,4.762,0.00078,0.00003,100441,0,0,2,1,1.7676,0,0,0.9653,0,0,Tmco5,transmembrane and coiled-coil domains 5
Z00051686-1,Gpx4,21.27,0.224,1.674,1,8.185,0,0,1681,0,0,0,2,1.5261,0,0,1,0,0,Gpx4,glutathione peroxidase 4
Z00056043-1,Cgref1,42.94,0.224,1.674,1,8.193,0,0,852,1,0,2,0,1.0226,0,0,1,0,0,Cgref1,cell growth regulator with EF hand domain 1
Z00000453-1,Slc43a3,68.19,0.223,1.671,0,10.562,0,0,22757,0,1,2,0,1.165,0,0.206411948,1,0,0,Slc43a3,"solute carrier family 43, member 3"
Z00003746-1,2310001A20Rik,105.87,0.223,1.671,0,5.809,0,0,-4195,0,1,2,2,2.7793,0,0,0.497,0,0,2310001A20Rik,RIKEN cDNA 2310001A20 gene
Z00008555-1,Tmem30b,108.51,0.223,1.671,0,7.956,0,0,-356,0,0,2,1,2.8956,0,0.423149406,0.4339,0,0,Tmem30b,transmembrane protein 30B
Z00020995-1,Golga3,106.21,0.223,1.671,0,4.431,0.00002,0.00009,-5279,0,0,3,0,1.5681,0,0,1,0,0,Golga3,"golgi autoantigen, golgin subfamily a, 3"
Z00022633-1,Aloxe3,98.56,0.223,1.671,0,3.945,0.00011,0.0004,0,0,0,0,0,0,0,0,1,0,0,Aloxe3,arachidonate lipoxygenase 3
Z00023737-1,Cova1,73.81,0.223,1.671,0,9.624,0,0,77542,0,0,2,0,1.0217,0,0,1,0,0,Cova1,cytosolic ovarian carcinoma antigen 1
Z00025821-1,Nck1,104.08,0.223,1.671,0,7.412,0,0,-35686,0,0,2,2,2.21,0,0.281571643,0.6427,0,0,Nck1,non-catalytic region of tyrosine kinase adaptor protein 1
Z00027790-1,V1rh16,5.15,0.223,1.671,1,4.417,0.00002,0.00009,0,0,0,0,0,0,0,0,1,0,0,V1rh16,"vomeronasal 1 receptor, H16"
Z00034569-1,Slc35a1,61.63,0.223,1.671,0,11.223,0,0,-32970,0,0,1,3,2.157,0,0,0.5933,0,0,Slc35a1,"solute carrier family 35 (CMP-sialic acid transporter), member 1"
Z00045045-1,Crb2,10.32,0.223,1.671,1,4.794,0.00073,0.00003,8566,0,0,9,0,2.1799,0,0,0.5673,0,0,Crb2,crumbs homolog 2 (Drosophila)
Z00054933-1,Gm589,4.51,0.223,1.671,1,6.125,0,0,-90206,0,0,1,2,1.7862,0,0,0.95,0,0,Gm589,"Mus musculus 0 day neonate thymus cDNA, RIKEN full-length enriched library, clone:A430088L10 product:unclassifiable, full insert sequence"
Z00055107-1,RP23-185A18.6,83.63,0.223,1.671,0,9.415,0,0,0,0,0,0,0,0,0,0,1,0,0,RP23-185A18.6,similar to hypothetical protein MGC39650
Z00058921-1,Lrrc8d,93.31,0.223,1.671,0,7.367,0,0,5186,1,0,1,3,2.0241,0,0,0.6416,0,0,Lrrc8d,leucine rich repeat containing 8D
Z00013470-1,Pawr,67.25,0.222,1.667,0,21.437,0,0,-45160,0,0,8,11,3.6893,-0.411,0,0.4225,0,1,Pawr,"Mus musculus PRKC, apoptosis, WT1, regulator (Pawr), mRNA"
Z00017556-1,Tpp2,106.2,0.222,1.667,0,10.825,0,0,108510,0,0,3,1,1.902,0,0,0.944,0,0,Tpp2,tripeptidyl peptidase II
Z00024152-1,Mylip,22.13,0.222,1.667,1,4.641,0.00001,0.00004,-14868,0,0,3,3,2.7939,0,0.307844984,0.3955,0,0,Mylip,myosin regulatory light chain interacting protein
Z00029511-1,BC024868,110.57,0.222,1.667,0,19.205,0,0,0,0,0,0,0,0,0,0,1,0,0,BC024868,cDNA sequence BC024868
Z00030629-1,Zbtb8,114.66,0.222,1.667,0,15.599,0,0,9220,0,0,2,0,1.2834,0,0,1,0,1,Zbtb8,zinc finger and BTB domain containing 8
Z00034630-1,Ankrd32,95.64,0.222,1.667,0,8.215,0,0,178900,0,0,2,0,0.9342,0,0,1,0,1,Ankrd32,ankyrin repeat domain 32
Z00058593-1,Arsa,108.01,0.222,1.667,0,9.052,0,0,-1918,1,0,2,1,2.0952,0.246,0,0.648,0,0,Arsa,arylsulfatase A
Z00003504-1,Churc1,58.37,0.221,1.663,1,12.753,0,0,-36109,0,0,1,2,1.9701,0.289,0,0.7768,0,1,Churc1,churchill domain containing 1
Z00009761-1,Snx13,91.76,0.221,1.663,0,14.301,0,0,129819,0,0,1,2,1.7179,0,0,1,0,0,Snx13,sorting nexin 13
Z00013103-1,Pcgf3,92.24,0.221,1.663,0,8.162,0,0,57971,0,0,3,0,1.2133,0,0.224628237,1,0,0,Pcgf3,polycomb group ring finger 3
Z00019609-1,Taok1,80.62,0.221,1.663,0,6.946,0,0,-1010,0,0,2,0,1.6262,0,0,1,0,0,Taok1,TAO kinase 1
Z00021082-1,Mtmr7,5.14,0.221,1.663,1,4.399,0.00003,0.0001,-15412,0,1,2,2,2.4405,0,0,0.4775,0,0,Mtmr7,myotubularin related protein 7
Z00023079-1,Zfp37,108.48,0.221,1.663,0,10.107,0,0,19199,0,1,1,17,3.403,0,0,0.2828,0,1,Zfp37,zinc finger protein 37
Z00034603-1,Phf23,3.95,0.221,1.663,1,3.467,0.00054,0.00168,-1126,0,0,0,2,1.6183,0,0,1,0,1,Phf23,PHD finger protein 23
Z00036120-1,Sdc2,29.52,0.221,1.663,0,15.958,0,0,29786,0,0,2,0,1.1319,0,0,1,0,0,Sdc2,syndecan 2
Z00036548-1,6720401G13Rik,104.31,0.221,1.663,0,13.369,0,0,0,0,0,0,0,0,0,0,1,0,0,6720401G13Rik,RIKEN cDNA 6720401G13 gene
Z00054193-1,Ptpn18,69.45,0.221,1.663,0,11.31,0,0,538,1,0,2,1,2.2903,0,0,0.5631,0,0,Ptpn18,"protein tyrosine phosphatase, non-receptor type 18"
Z00064984-1,Ppil2,78.76,0.221,1.663,0,3.532,0.00044,0.00138,-483,0,0,0,2,1.6133,0,0,1,0,0,Ppil2,"Mus musculus peptidylprolyl isomerase (cyclophilin)-like 2 (Ppil2), mRNA"
Z00065931-1,6330534C20Rik,10.54,0.221,1.663,1,3.851,0.00396,0.00053,0,0,0,0,0,0,0,0,1,0,0,6330534C20Rik,RIKEN cDNA 6330534C20 gene
Z00003400-1,2310016C08Rik,105.07,0.22,1.659,0,7.028,0,0,4821,0,0,2,0,1.3756,0,0,1,0,0,2310016C08Rik,RIKEN cDNA 2310016C08 gene
Z00011148-1,Tmbim4,97.52,0.22,1.659,0,3.267,0.00101,0.00301,0,0,0,0,0,0,0,0,1,0,0,Tmbim4,transmembrane BAX inhibitor motif containing 4
Z00013672-1,Map2k1,106.48,0.22,1.659,0,9.425,0,0,14929,0,0,2,4,2.7545,0,0,0.497,0,0,Map2k1,mitogen activated protein kinase kinase 1
Z00016162-1,Tspyl1,60.61,0.22,1.659,0,7.407,0,0,-48101,0,1,4,6,2.9273,0,0,0.4234,0,0,Tspyl1,"testis-specific protein, Y-encoded-like 1"
Z00019424-1,Ciz1,91.94,0.22,1.659,0,4.673,0.00001,0.00004,4264,0,0,2,0,1.3938,0,0.44141845,1,0,0,Ciz1,CDKN1A interacting zinc finger protein 1
Z00020337-1,Hdac5,87.36,0.22,1.659,0,3.329,0.00083,0.00251,-19337,0,0,1,2,2.1064,0.335,0,0.5957,0,1,Hdac5,histone deacetylase 5
Z00020673-1,Txndc11,83.76,0.22,1.659,0,7.924,0,0,-225,1,0,3,2,2.8811,0,0.198602568,0.3736,0,0,Txndc11,thioredoxin domain containing 11
Z00021906-1,Nxt2,28.38,0.22,1.659,1,14.841,0,0,0,0,0,0,0,0,0,0,1,0,0,Nxt2,nuclear transport factor 2-like export factor 2
Z00022094-1,Lama4,92.81,0.22,1.659,0,14.392,0,0,-115415,0,1,2,4,2.2128,0,0,0.5891,0,0,Lama4,"laminin, alpha 4"
Z00026605-1,Bin2,94.56,0.22,1.659,0,7.638,0,0,0,0,0,0,0,0,0,0,1,0,0,Bin2,bridging integrator 2
Z00031155-1,Tceal3,76.14,0.22,1.659,1,9.258,0,0,0,0,0,0,0,0,0,0,1,0,0,Tceal3,transcription elongation factor A (SII)-like 3
Z00034261-1,Ihpk1,93.86,0.22,1.659,0,10.636,0,0,-689,1,0,2,1,2.2903,0,0,0.5464,0,0,Ihpk1,inositol hexaphosphate kinase 1
